ph,turbidity,conductivity,chlorine,temperature,pressure,flow,Risk_Index,Probable_Cause
7.84,0.19,201.8,0.55,17.7,3.34,274.37,11,Normal
7.4,0.78,578.73,0.93,8.1,2.75,278.66,9,Normal
7.12,0.46,511.89,1.38,14.48,3.33,317.88,15,Normal
7.22,0.68,407.23,1.62,10.68,2.85,293.67,0,Normal
7.35,8.54,1192.68,0.0,21.37,3.13,202.91,93,Contamination
7.2,0.18,333.53,0.73,17.43,3.04,235.72,8,Normal
6.35,1.35,966.02,0.56,14.9,3.0,281.29,74,Corrosion
7.6,0.48,430.65,0.87,15.55,3.13,295.08,1,Normal
6.66,0.57,436.46,0.8,11.15,3.44,324.57,6,Normal
7.13,0.27,317.82,1.39,15.41,2.83,325.48,9,Normal
6.96,0.8,535.28,0.86,13.11,2.21,225.92,14,Normal
5.46,2.61,834.75,0.4,15.16,3.0,281.67,58,Corrosion
5.48,5.74,785.0,0.1,21.14,2.63,261.7,99,Contamination
7.32,0.07,483.6,0.07,23.94,2.17,23.81,43,Stagnation
6.75,0.3,281.8,1.3,12.91,3.04,280.96,3,Normal
6.82,0.47,459.91,0.64,17.43,2.75,275.85,10,Normal
7.36,0.37,403.76,0.91,15.39,2.29,208.52,11,Normal
6.25,3.33,717.9,0.73,16.88,3.08,128.34,56,Corrosion
7.15,1.03,520.31,0.35,21.54,2.08,34.02,52,Stagnation
7.6,0.52,309.34,1.29,16.99,2.69,319.07,1,Normal
7.5,0.74,393.36,0.89,18.68,2.64,321.93,10,Normal
5.9,8.13,1122.59,0.11,19.97,2.53,371.23,96,Contamination
7.67,0.68,323.84,0.91,15.44,2.79,384.62,4,Normal
7.24,0.1,433.94,0.9,14.78,2.89,340.35,10,Normal
7.54,0.56,366.07,0.99,15.06,2.76,328.95,9,Normal
7.34,0.81,525.53,0.79,17.46,2.71,334.8,15,Normal
5.79,1.68,956.01,0.0,10.75,2.73,254.95,59,Corrosion
7.09,0.18,318.21,1.12,16.75,3.0,357.84,0,Normal
7.32,0.35,371.95,0.58,14.68,3.33,334.26,3,Normal
7.62,0.71,534.61,0.84,19.41,1.19,94.14,38,Pression Faible
7.64,0.46,421.84,1.39,14.6,2.6,407.15,0,Normal
7.06,0.53,515.6,0.82,11.98,3.08,210.35,8,Normal
7.11,0.87,373.0,0.44,19.78,1.23,108.62,45,Pression Faible
7.12,0.54,426.92,0.84,11.47,1.64,67.55,38,Pression Faible
6.65,0.77,349.57,0.82,9.7,3.52,235.53,1,Normal
7.22,0.68,442.17,0.98,9.9,2.76,309.39,5,Normal
6.96,0.54,468.17,1.29,11.32,3.66,338.37,12,Normal
7.2,0.72,636.54,0.57,14.32,2.29,309.63,7,Normal
7.31,0.49,334.55,0.39,16.12,3.44,270.45,3,Normal
7.33,0.19,445.72,0.88,12.71,2.77,280.32,14,Normal
7.31,0.24,360.29,0.99,11.7,3.54,257.33,4,Normal
7.0,0.3,579.85,1.17,12.19,3.33,310.03,6,Normal
7.28,0.43,325.06,1.1,13.36,3.55,236.54,15,Normal
8.23,5.78,1289.73,0.09,15.48,3.16,164.62,81,Contamination
5.71,1.76,649.3,0.74,17.16,3.08,264.45,66,Corrosion
7.0,0.57,412.43,1.28,17.33,3.01,255.14,10,Normal
7.0,0.64,368.47,0.98,17.15,1.18,80.32,35,Pression Faible
7.24,0.4,307.46,0.47,12.91,3.14,264.85,10,Normal
7.13,0.94,452.07,0.58,17.99,1.54,57.4,34,Pression Faible
6.95,1.16,385.31,0.23,10.8,1.13,56.74,30,Pression Faible
7.08,0.51,546.23,0.91,18.22,3.43,371.72,8,Normal
7.61,0.22,496.08,0.2,21.84,3.02,38.6,46,Stagnation
7.37,1.13,433.34,0.15,13.5,1.56,63.85,28,Pression Faible
7.13,0.29,578.39,1.5,12.35,3.04,265.98,7,Normal
7.38,0.95,481.17,1.0,23.81,0.89,45.79,29,Pression Faible
5.84,1.25,601.51,0.5,13.23,2.42,281.09,72,Corrosion
7.05,0.46,489.42,0.77,14.21,3.11,202.92,15,Normal
6.48,0.57,449.2,1.62,15.47,3.25,290.23,11,Normal
7.29,0.83,187.6,1.12,21.41,3.08,382.53,8,Normal
7.01,0.49,403.35,0.33,11.5,2.67,341.1,12,Normal
7.7,6.65,1447.23,0.04,22.81,2.9,302.89,92,Contamination
6.79,7.37,1073.64,0.1,13.47,2.57,334.37,84,Contamination
7.17,0.41,489.01,0.82,14.4,3.42,376.96,9,Normal
7.67,0.72,523.07,0.62,12.28,0.5,113.46,22,Pression Faible
6.94,0.47,308.97,1.21,13.87,2.61,322.08,14,Normal
6.93,0.78,239.31,0.0,22.36,1.91,15.19,63,Stagnation
7.2,0.39,599.2,1.55,12.4,3.17,337.46,6,Normal
6.52,3.01,1196.31,0.04,16.26,3.03,262.46,88,Contamination
6.85,0.83,438.6,0.55,17.78,0.67,68.44,42,Pression Faible
7.12,0.37,343.49,1.56,12.45,3.73,321.86,3,Normal
7.54,1.44,702.99,0.0,19.76,2.27,30.32,58,Stagnation
6.68,0.5,569.35,1.05,14.12,2.81,344.93,1,Normal
7.17,2.12,643.34,0.13,21.98,2.81,40.95,56,Stagnation
6.96,0.39,267.77,1.12,17.0,2.6,277.24,7,Normal
6.8,0.32,455.1,0.78,14.1,2.51,309.35,13,Normal
7.19,0.35,381.1,1.05,12.56,2.56,390.28,15,Normal
7.01,0.48,501.08,2.06,11.27,3.13,264.62,4,Normal
7.04,0.36,287.43,0.99,10.58,3.28,302.75,5,Normal
7.33,0.41,363.28,1.09,11.51,2.89,257.02,15,Normal
6.93,0.1,533.93,0.79,18.49,3.32,235.7,6,Normal
5.56,4.55,1250.19,0.79,16.77,2.55,275.94,59,Corrosion
6.98,0.1,267.84,1.01,11.61,2.98,246.27,1,Normal
6.97,1.06,424.75,0.9,17.64,1.34,108.93,22,Pression Faible
7.32,0.99,319.89,0.06,23.93,2.89,39.6,47,Stagnation
6.66,0.72,216.15,1.27,13.9,3.21,233.38,1,Normal
7.55,0.36,333.15,0.6,9.74,1.23,116.12,25,Pression Faible
8.0,0.52,511.67,1.07,16.5,2.9,309.75,5,Normal
7.36,0.63,392.25,0.88,17.48,0.88,78.97,21,Pression Faible
7.77,1.15,534.92,0.91,15.96,1.5,111.21,32,Pression Faible
5.22,1.45,1161.89,0.72,13.98,2.3,216.7,55,Corrosion
6.78,1.43,397.76,0.88,16.76,1.49,98.92,50,Pression Faible
7.86,4.74,1110.64,0.09,15.89,2.9,319.94,89,Contamination
7.63,2.44,1414.42,0.04,20.83,3.13,380.4,80,Contamination
7.61,0.77,544.37,1.09,15.1,3.26,336.6,3,Normal
7.11,0.92,396.49,0.64,18.87,1.22,120.97,30,Pression Faible
6.71,0.39,403.26,1.34,16.2,3.09,243.64,15,Normal
6.07,6.65,790.77,0.02,20.0,2.61,380.27,84,Contamination
7.98,2.86,920.29,0.0,14.87,3.13,279.31,94,Contamination
7.34,0.2,479.8,0.83,15.04,2.97,236.42,3,Normal
6.85,0.69,439.9,1.32,15.97,3.04,213.7,14,Normal
7.39,1.19,645.31,0.17,25.07,2.68,22.89,62,Stagnation
7.24,0.55,306.08,0.88,14.38,3.48,195.96,10,Normal
6.4,1.75,625.58,1.15,18.2,3.3,298.04,68,Corrosion
8.32,1.48,434.35,0.13,24.49,2.27,23.48,46,Stagnation
7.11,0.1,413.81,0.43,15.16,3.26,276.16,12,Normal
8.34,3.08,1557.38,0.08,11.14,3.71,296.81,96,Contamination
6.94,0.22,378.0,0.96,15.31,2.91,331.66,12,Normal
7.34,0.23,435.06,0.0,22.71,2.21,31.63,45,Stagnation
7.59,0.52,506.13,0.77,20.26,1.09,63.19,35,Pression Faible
7.41,0.41,315.86,0.86,14.87,3.4,203.3,7,Normal
7.21,0.62,419.34,1.39,14.78,2.94,329.62,12,Normal
7.23,0.42,451.61,0.8,13.17,2.84,367.65,8,Normal
6.23,0.92,403.43,0.4,15.93,1.34,91.79,29,Pression Faible
6.4,0.77,326.23,1.21,17.22,2.74,333.02,0,Normal
7.08,0.1,516.77,0.77,12.44,2.88,313.61,11,Normal
7.48,1.47,316.05,0.03,21.77,3.07,28.86,41,Stagnation
7.93,1.22,401.63,0.08,21.66,2.68,43.75,54,Stagnation
7.31,0.74,303.52,0.88,12.83,3.09,282.05,12,Normal
7.79,0.73,454.3,0.17,17.87,3.14,27.17,69,Stagnation
5.38,6.32,1210.03,0.05,21.96,3.12,314.89,89,Contamination
7.68,1.15,627.55,0.0,22.28,2.52,38.13,60,Stagnation
6.95,0.28,415.68,0.98,19.47,0.82,103.09,29,Pression Faible
7.91,0.42,270.91,0.88,15.04,3.17,270.43,7,Normal
7.67,0.28,226.08,1.33,8.18,2.94,455.88,4,Normal
7.2,0.28,394.26,0.98,15.48,3.2,248.04,14,Normal
6.4,2.7,1045.36,0.61,19.86,2.7,266.65,69,Corrosion
6.92,0.3,468.82,0.87,12.44,2.81,334.95,15,Normal
5.75,2.41,903.01,0.22,11.59,2.93,205.78,75,Corrosion
7.92,1.68,521.92,0.28,21.83,2.69,24.16,46,Stagnation
6.4,4.09,902.38,0.92,20.08,2.74,210.6,71,Corrosion
6.35,2.56,936.6,0.55,10.85,2.89,304.3,77,Corrosion
5.91,3.65,759.22,0.48,15.8,2.77,296.2,66,Corrosion
6.97,0.77,596.69,0.99,18.75,2.68,353.76,11,Normal
7.51,0.67,398.44,0.11,13.07,2.81,251.09,3,Normal
7.24,0.42,317.54,0.68,12.85,3.34,266.95,6,Normal
7.05,0.41,433.9,1.14,5.87,3.31,371.82,4,Normal
6.88,0.31,354.97,0.77,15.67,2.42,244.1,14,Normal
7.66,0.31,524.34,1.11,9.57,3.19,294.12,6,Normal
5.82,2.7,994.93,1.01,19.53,2.96,167.46,65,Corrosion
7.06,1.09,472.45,1.71,19.19,3.07,315.07,14,Normal
6.97,2.52,1205.41,0.11,15.6,3.02,342.58,94,Contamination
6.93,0.41,298.21,0.75,11.14,2.73,370.97,13,Normal
6.93,0.53,349.71,1.35,18.93,3.26,315.31,1,Normal
7.13,0.26,594.35,0.77,16.99,3.32,272.24,9,Normal
6.4,3.11,1245.59,0.66,12.14,2.6,262.53,62,Corrosion
7.22,0.42,209.08,1.14,20.92,3.14,330.46,0,Normal
6.23,2.82,1086.33,0.92,15.06,2.48,235.06,68,Corrosion
7.29,0.44,431.43,1.13,17.5,3.38,303.9,13,Normal
6.81,0.43,404.41,0.45,19.17,3.04,319.07,2,Normal
7.61,0.37,457.4,0.97,14.45,2.77,383.28,1,Normal
7.09,1.01,212.5,1.25,18.16,1.23,75.46,22,Pression Faible
7.32,1.49,223.68,1.13,12.27,1.19,75.04,35,Pression Faible
7.07,0.5,286.58,1.31,9.62,3.16,283.67,13,Normal
6.85,0.54,244.3,1.01,10.73,3.14,253.78,4,Normal
5.82,2.74,745.49,0.78,11.46,3.05,355.89,73,Corrosion
8.62,1.25,528.82,0.0,25.01,2.73,25.16,53,Stagnation
7.57,0.45,354.2,1.14,11.81,3.31,247.2,12,Normal
6.88,0.32,475.95,0.81,10.96,2.82,298.4,12,Normal
6.85,0.27,611.13,0.74,14.03,2.89,278.93,4,Normal
7.75,1.67,419.4,0.0,24.55,2.47,47.3,51,Stagnation
6.53,0.54,591.86,0.89,14.32,3.09,272.06,12,Normal
7.11,0.43,337.26,1.37,16.38,3.08,340.43,7,Normal
6.79,4.45,1019.21,0.05,13.76,2.75,274.19,80,Contamination
7.84,0.0,382.04,1.42,15.37,1.43,82.0,34,Pression Faible
7.23,0.08,470.55,0.02,20.4,2.35,47.45,57,Stagnation
7.92,0.54,353.52,0.65,16.41,3.53,287.63,12,Normal
5.1,7.34,1495.62,0.0,18.71,3.04,296.34,87,Contamination
6.96,0.7,359.66,0.55,8.85,3.38,330.83,4,Normal
7.23,0.41,347.1,0.68,13.71,2.36,263.2,3,Normal
7.11,0.62,396.01,1.24,19.05,3.32,323.53,13,Normal
7.5,0.71,523.99,0.27,22.68,3.08,14.74,69,Stagnation
6.08,7.71,1279.29,0.12,17.94,2.64,289.32,80,Contamination
6.74,0.27,497.24,1.26,16.09,2.48,282.08,2,Normal
6.83,0.74,341.63,0.67,15.09,2.81,374.19,1,Normal
6.98,0.22,184.71,0.99,13.31,2.57,359.46,1,Normal
7.4,0.49,536.43,1.2,12.53,2.69,340.9,1,Normal
7.32,0.53,315.35,1.18,12.73,2.97,372.35,7,Normal
7.0,0.19,294.75,1.3,15.76,2.96,274.55,1,Normal
7.35,0.33,430.57,0.78,12.31,2.81,281.23,9,Normal
7.19,0.55,31.16,0.76,13.83,3.45,246.0,10,Normal
7.25,0.8,268.7,1.12,12.59,2.85,259.84,10,Normal
6.98,1.04,484.45,1.33,16.48,2.52,319.75,4,Normal
7.52,0.54,496.53,1.11,20.56,1.07,58.05,36,Pression Faible
7.09,0.79,217.16,0.38,15.27,2.87,300.39,9,Normal
7.48,0.39,212.7,1.61,12.01,2.68,355.19,5,Normal
7.35,1.17,498.28,0.21,21.33,2.96,10.0,53,Stagnation
7.43,0.33,537.23,1.04,12.98,3.2,344.66,1,Normal
7.39,0.49,351.6,0.9,14.88,1.42,39.7,50,Pression Faible
7.63,1.06,366.15,0.03,21.57,1.42,22.99,52,Stagnation
5.65,2.93,738.89,0.74,20.63,3.2,304.14,60,Corrosion
7.3,1.47,426.61,0.08,22.82,2.32,44.93,53,Stagnation
7.15,0.62,545.56,1.31,10.77,3.13,342.54,12,Normal
7.47,0.28,334.3,1.3,12.71,2.91,378.79,15,Normal
7.19,0.35,312.24,1.1,11.0,2.93,316.66,7,Normal
7.59,0.63,328.59,1.35,14.1,2.63,291.4,4,Normal
8.15,6.33,1203.76,0.13,12.27,2.51,219.21,81,Contamination
7.31,0.53,554.27,1.07,13.79,3.0,305.89,13,Normal
6.7,1.04,451.99,1.06,16.85,3.21,292.97,4,Normal
7.01,0.62,438.57,0.76,19.26,3.09,336.49,8,Normal
7.62,0.5,431.7,1.24,12.83,3.02,306.28,2,Normal
6.91,1.5,259.27,0.51,18.94,1.41,59.48,47,Pression Faible
7.38,0.79,396.97,1.78,9.83,3.21,358.33,6,Normal
7.47,0.46,370.96,1.13,17.45,3.18,352.0,12,Normal
7.09,1.09,356.0,0.06,24.03,2.53,56.07,59,Stagnation
7.26,0.51,410.62,0.81,14.83,3.34,305.7,2,Normal
6.96,0.31,354.98,1.02,18.58,2.6,284.01,6,Normal
7.24,0.13,316.64,0.8,12.61,3.06,291.97,10,Normal
7.03,0.59,572.31,1.49,9.23,3.17,291.1,0,Normal
7.25,0.42,411.76,1.05,13.26,2.73,277.57,6,Normal
7.27,0.98,485.33,0.75,15.85,1.49,103.31,23,Pression Faible
5.98,2.32,938.22,0.46,15.42,3.1,288.52,74,Corrosion
7.12,0.54,317.53,1.21,14.77,2.92,281.91,7,Normal
7.47,0.98,515.81,0.06,25.19,2.94,21.08,62,Stagnation
7.22,0.37,367.34,1.6,14.08,3.11,327.07,7,Normal
6.9,0.33,279.4,0.73,6.45,3.16,402.71,9,Normal
7.24,0.22,335.72,0.86,11.95,3.26,340.51,11,Normal
6.85,0.65,552.68,1.57,23.6,2.73,441.21,11,Normal
7.09,0.38,432.71,0.83,16.2,2.6,288.06,15,Normal
7.59,0.49,414.16,1.14,18.51,2.5,329.23,15,Normal
5.89,2.63,1111.99,0.44,12.96,2.03,217.05,60,Corrosion
7.6,0.76,265.99,0.75,10.54,0.86,87.78,31,Pression Faible
6.85,0.72,392.89,1.03,14.16,3.23,339.16,1,Normal
7.3,0.61,378.79,1.16,13.99,3.0,286.27,7,Normal
5.82,1.95,993.54,1.19,19.51,2.3,327.35,50,Corrosion
7.1,0.62,309.38,1.04,15.94,2.55,330.41,13,Normal
7.6,0.47,536.02,0.94,17.55,2.33,420.94,6,Normal
7.65,0.44,202.79,1.09,10.67,3.13,320.58,12,Normal
6.92,0.72,480.56,1.29,15.03,2.58,348.89,7,Normal
7.12,0.22,535.2,1.63,14.88,3.65,304.57,10,Normal
7.09,0.37,563.71,0.77,17.21,2.83,276.98,15,Normal
7.51,0.69,359.52,1.24,19.79,1.39,66.9,40,Pression Faible
5.8,2.56,964.19,0.5,18.17,2.83,147.06,64,Corrosion
6.92,0.4,392.71,1.57,15.71,2.75,311.03,11,Normal
7.09,0.56,458.06,1.36,14.93,3.49,345.4,15,Normal
6.99,0.94,432.7,0.75,19.96,3.62,298.35,1,Normal
7.05,0.47,471.47,1.38,16.71,3.03,374.9,2,Normal
7.11,1.11,371.19,1.03,14.66,1.18,72.45,41,Pression Faible
7.6,0.35,325.98,1.64,17.93,2.28,271.74,0,Normal
6.66,0.31,86.15,0.96,11.57,3.02,218.74,7,Normal
7.22,0.42,550.2,1.42,17.36,2.9,399.27,4,Normal
6.73,0.22,391.62,1.68,14.39,2.95,227.9,14,Normal
7.48,0.69,478.91,0.81,12.88,2.61,304.19,15,Normal
7.07,0.61,407.63,0.05,20.92,2.64,30.79,40,Stagnation
7.11,0.54,300.85,1.03,15.45,2.55,349.78,13,Normal
6.94,0.52,516.44,1.28,15.1,2.89,347.38,8,Normal
7.4,0.38,320.51,0.38,15.46,2.98,356.81,9,Normal
7.31,0.77,330.26,1.34,13.41,3.23,227.06,13,Normal
7.19,2.03,1119.86,0.07,15.92,2.58,342.31,85,Contamination
7.17,0.4,404.19,1.79,18.46,3.35,321.78,3,Normal
7.25,0.1,332.1,0.86,9.38,2.65,200.96,7,Normal
7.19,0.66,510.68,1.12,12.11,2.42,212.16,8,Normal
5.98,4.22,1152.08,0.0,19.36,2.83,300.53,88,Contamination
6.4,1.56,983.74,0.8,15.0,3.15,302.74,52,Corrosion
6.92,0.46,428.12,0.92,16.76,3.08,391.63,12,Normal
6.74,0.48,309.15,1.18,10.15,3.1,268.5,7,Normal
6.98,0.37,353.49,1.23,14.92,1.39,113.29,27,Pression Faible
7.28,0.39,446.73,0.84,13.49,2.54,346.31,2,Normal
7.35,1.29,346.4,0.14,20.48,2.46,38.78,67,Stagnation
7.82,1.19,273.19,0.4,25.49,2.72,22.47,41,Stagnation
7.17,0.39,526.39,1.08,12.65,2.86,356.06,12,Normal
7.68,0.81,475.7,0.92,5.28,3.09,299.91,15,Normal
7.24,0.51,267.37,1.17,16.9,3.2,347.33,0,Normal
6.24,2.17,885.83,0.83,16.32,3.2,288.62,52,Corrosion
7.82,0.94,407.96,0.0,18.71,2.84,259.93,13,Normal
7.34,0.98,511.23,0.0,19.84,2.6,36.23,50,Stagnation
7.39,0.34,302.17,0.85,15.72,3.45,197.63,3,Normal
6.82,3.33,704.33,0.1,20.18,3.03,346.05,81,Contamination
7.06,0.41,618.57,0.93,17.21,3.0,207.59,15,Normal
6.59,0.38,505.61,1.24,17.74,2.7,380.79,2,Normal
7.11,1.31,448.96,0.08,24.68,2.29,16.5,48,Stagnation
7.02,5.2,2213.21,0.08,16.36,2.58,205.99,98,Contamination
7.09,1.26,592.73,0.21,22.46,2.4,32.69,45,Stagnation
7.04,1.32,381.08,0.87,8.35,1.14,96.73,30,Pression Faible
6.88,0.35,479.27,0.56,18.17,2.84,280.57,6,Normal
6.86,0.58,645.99,1.23,12.41,3.34,284.17,12,Normal
7.61,1.04,105.69,0.6,17.83,1.25,59.52,29,Pression Faible
7.01,0.12,391.16,1.66,17.41,3.66,344.12,7,Normal
7.51,0.89,437.73,0.94,18.1,3.44,276.0,12,Normal
7.21,1.27,533.15,0.18,19.15,3.07,23.59,57,Stagnation
7.12,0.32,669.83,1.07,12.45,3.26,338.46,4,Normal
5.92,3.17,734.94,0.65,9.97,2.27,358.46,72,Corrosion
6.4,2.55,1232.59,0.75,15.27,2.82,242.5,66,Corrosion
5.91,3.41,930.03,1.01,19.09,2.96,191.78,61,Corrosion
6.79,0.53,382.87,1.03,14.95,3.78,233.49,13,Normal
6.6,0.57,362.36,1.09,16.75,3.39,224.64,2,Normal
7.03,0.59,477.05,1.66,17.87,2.98,255.48,12,Normal
7.03,0.62,465.52,0.98,11.03,1.07,97.55,30,Pression Faible
7.31,0.61,438.29,1.49,15.71,2.88,254.21,8,Normal
6.1,0.55,863.14,0.74,11.91,2.43,298.58,64,Corrosion
7.27,0.52,430.63,1.03,18.73,3.04,227.09,11,Normal
7.69,0.57,341.07,0.62,16.19,2.96,378.71,12,Normal
7.1,0.33,489.58,1.28,15.51,3.2,298.12,12,Normal
7.27,0.73,462.53,0.95,19.06,2.29,402.6,9,Normal
5.32,2.0,891.82,0.76,19.02,2.38,265.65,72,Corrosion
7.03,0.56,393.52,1.03,13.35,2.85,314.36,8,Normal
7.48,0.38,313.12,1.18,14.9,3.25,254.71,4,Normal
5.29,2.07,746.73,0.78,14.09,3.1,232.71,60,Corrosion
7.25,0.53,419.5,0.99,16.53,2.76,369.97,2,Normal
7.13,0.24,418.81,0.74,17.0,3.66,260.67,9,Normal
7.3,0.15,445.39,0.73,13.13,2.67,336.61,8,Normal
7.5,0.5,313.56,1.48,12.75,2.35,322.92,2,Normal
6.87,0.7,361.89,1.18,19.2,2.64,271.7,14,Normal
7.18,0.81,334.16,0.82,16.43,2.83,307.63,13,Normal
6.73,0.94,265.23,0.9,14.9,3.57,233.76,2,Normal
7.8,0.65,441.71,0.7,16.71,2.78,363.33,2,Normal
6.91,0.48,344.47,0.7,17.22,3.16,360.45,10,Normal
5.58,8.13,1951.63,0.03,25.58,2.82,231.38,80,Contamination
7.11,0.71,316.18,0.82,16.78,3.0,329.23,12,Normal
6.1,2.88,813.54,0.87,13.22,3.32,211.94,73,Corrosion
7.54,0.73,420.2,0.75,11.95,0.68,58.89,48,Pression Faible
7.1,0.86,501.04,0.77,12.35,0.77,89.6,27,Pression Faible
7.61,0.75,470.99,1.19,20.09,3.1,332.31,5,Normal
7.37,0.52,381.62,0.1,22.12,3.08,30.81,45,Stagnation
7.55,0.41,368.83,0.6,12.77,3.16,300.38,9,Normal
7.48,0.54,364.75,1.64,14.72,3.35,279.94,4,Normal
7.41,0.69,420.85,0.29,15.05,3.37,326.37,13,Normal
7.33,0.16,327.95,1.12,16.23,3.36,292.76,9,Normal
7.32,0.5,301.31,0.32,16.29,3.05,269.09,2,Normal
6.71,0.63,373.41,1.17,20.59,2.36,265.02,7,Normal
5.92,3.66,572.72,1.38,16.41,2.76,238.12,65,Corrosion
7.07,0.71,293.15,1.1,13.85,2.77,429.3,6,Normal
7.33,0.62,513.78,0.57,20.26,2.25,261.56,4,Normal
7.06,0.62,421.87,0.95,14.96,2.71,225.14,12,Normal
7.42,0.64,558.45,0.76,17.08,2.91,359.52,12,Normal
7.82,6.42,1098.14,0.1,20.59,2.69,233.61,90,Contamination
7.11,0.8,514.65,0.67,11.5,3.38,243.22,13,Normal
7.41,4.77,1685.11,0.01,22.57,2.96,312.61,100,Contamination
6.61,0.14,377.94,0.97,11.62,0.87,91.23,24,Pression Faible
7.37,0.47,478.02,0.65,13.93,3.49,303.42,6,Normal
7.24,0.96,260.07,1.24,19.99,2.9,342.98,5,Normal
6.91,0.59,438.5,1.14,18.36,1.67,78.65,50,Pression Faible
7.56,0.43,490.21,1.06,16.34,3.13,219.76,15,Normal
6.86,0.83,231.27,1.15,17.61,1.3,57.58,45,Pression Faible
7.61,0.91,414.71,1.15,15.61,3.16,294.02,12,Normal
7.19,0.68,634.56,0.58,14.69,2.65,379.6,12,Normal
7.02,0.21,463.82,1.52,16.99,3.06,320.46,6,Normal
7.62,0.33,388.82,0.86,11.5,2.9,355.39,5,Normal
7.73,1.52,464.65,0.15,20.4,2.41,31.92,57,Stagnation
7.28,0.56,386.17,0.89,24.47,3.27,320.66,14,Normal
7.13,0.66,386.92,0.99,9.36,0.73,67.26,26,Pression Faible
7.26,0.45,547.81,0.56,12.75,3.46,306.56,9,Normal
7.71,10.1,991.86,0.05,16.91,2.31,284.48,82,Contamination
7.7,7.08,1385.72,0.03,15.38,3.28,275.13,93,Contamination
7.62,1.28,596.17,0.2,19.41,2.14,35.79,44,Stagnation
7.47,0.97,551.56,0.12,22.1,2.73,26.25,47,Stagnation
7.67,0.34,465.69,1.43,10.87,2.9,357.11,4,Normal
6.4,2.36,753.07,1.09,19.55,2.33,177.77,75,Corrosion
7.27,0.63,370.09,1.2,12.87,2.37,278.8,14,Normal
7.22,0.72,284.14,0.36,13.46,1.47,105.12,35,Pression Faible
7.56,0.34,284.63,1.15,16.91,3.12,199.3,13,Normal
6.94,0.49,448.72,1.23,15.43,3.1,304.24,11,Normal
6.27,2.75,913.15,0.72,16.24,2.99,266.05,75,Corrosion
7.31,0.77,426.52,0.81,17.65,2.59,245.93,2,Normal
7.3,0.6,275.49,0.89,13.18,2.85,347.18,7,Normal
7.78,1.19,395.4,0.0,24.84,2.68,22.93,51,Stagnation
7.42,0.49,371.29,1.13,12.78,2.9,306.07,1,Normal
7.05,0.63,586.91,0.77,10.0,2.4,292.48,12,Normal
7.0,0.86,413.26,0.42,9.56,1.29,82.71,30,Pression Faible
7.07,0.3,447.14,1.28,15.83,0.95,80.89,33,Pression Faible
6.79,0.71,408.18,0.47,14.1,3.14,283.35,3,Normal
7.12,0.26,456.65,0.81,8.53,2.89,349.06,7,Normal
7.08,0.85,442.9,1.1,14.61,2.98,286.83,12,Normal
7.11,0.61,306.42,0.68,11.63,3.61,326.52,4,Normal
7.29,0.29,462.33,0.97,15.64,2.71,308.01,0,Normal
7.07,0.35,473.41,0.54,16.69,3.21,256.02,9,Normal
6.95,0.46,428.2,0.95,16.3,3.53,274.61,2,Normal
6.69,0.67,568.33,1.12,11.74,2.96,244.07,4,Normal
7.39,0.23,369.99,0.7,15.38,2.89,308.84,10,Normal
7.21,0.3,462.69,0.99,12.03,3.67,323.82,6,Normal
7.15,0.78,584.18,0.96,16.04,2.7,292.64,11,Normal
7.14,0.54,433.28,1.17,15.71,2.64,253.08,14,Normal
5.78,2.27,1110.15,0.45,14.93,3.18,232.01,64,Corrosion
7.34,0.47,425.68,0.93,17.0,2.54,281.83,9,Normal
7.29,0.61,549.3,0.88,19.44,2.8,366.43,3,Normal
7.45,0.32,430.7,0.98,16.88,2.93,284.64,10,Normal
8.05,1.15,532.64,0.08,25.33,2.3,23.86,61,Stagnation
8.22,5.11,1680.32,0.09,17.38,2.36,299.03,87,Contamination
7.23,0.73,558.84,0.79,17.4,3.23,353.67,5,Normal
7.35,0.11,384.46,0.65,14.39,3.29,315.26,13,Normal
7.54,0.9,270.17,0.14,15.45,1.14,60.46,27,Pression Faible
5.32,1.91,861.1,1.0,16.57,3.44,187.86,70,Corrosion
7.46,0.51,469.47,0.87,18.22,3.09,266.03,13,Normal
7.2,0.45,448.92,0.65,14.91,3.12,301.65,6,Normal
7.6,0.65,399.25,1.07,15.89,3.12,208.72,13,Normal
7.11,0.2,527.83,0.98,14.42,3.27,321.12,6,Normal
6.86,0.49,366.48,0.48,12.93,2.94,294.25,2,Normal
6.76,0.73,389.79,1.01,16.2,2.76,322.82,5,Normal
7.09,0.32,457.34,1.45,17.17,3.28,273.97,6,Normal
6.72,0.8,605.45,1.46,13.99,2.65,246.72,8,Normal
6.83,1.15,610.57,0.09,22.6,2.91,25.96,55,Stagnation
7.81,0.9,386.89,0.83,17.09,2.9,242.17,10,Normal
7.58,0.74,415.55,0.62,11.31,3.03,275.01,12,Normal
7.1,0.7,473.32,1.41,12.03,2.9,337.95,11,Normal
7.33,0.81,442.05,1.55,16.62,3.32,283.82,14,Normal
7.51,1.66,611.3,0.17,21.83,2.91,10.0,66,Stagnation
6.93,1.54,451.41,0.16,22.13,2.67,21.86,65,Stagnation
7.37,0.7,522.06,1.6,15.73,3.08,223.84,2,Normal
7.29,1.1,555.03,0.04,23.59,2.5,28.23,50,Stagnation
7.27,0.42,357.1,0.49,14.26,2.86,274.2,9,Normal
7.33,0.63,423.22,1.3,16.73,2.91,276.86,11,Normal
